#*****Opitcal Chain*****
#
Element		Temp   Thick   Index   LossTan   Conductivity   Absorb   AbsorbFreq	SurfaceRough    Refl    ScattFrac   ScattTemp
#		[K]    [mm]            [e-4]     [e6 S/m]       NA       [GHz]		[um RMS]	NA	NA          [K]	
Mirror		273.0  NA      NA      NA        NA	        0.010    NA		NA	        0.000	NA	    NA
Mirror		273.0  NA      NA      NA        NA	        0.010    NA		NA	        0.000	NA	    NA	
Window		265.0  NA      NA      NA	 NA		0.020	 NA		NA		0.000	NA	    NA
AluminaF	54.00  NA      NA      NA	 NA		0.031	 150.0		NA		0.015	NA	    NA
Lens		5.900  NA      NA      NA	 NA		0.098	 150.0		NA		0.015	NA	    NA
Lens		4.500  NA      NA      NA	 NA		0.105	 150.0		NA		0.015	NA	    NA
LowPass		5.800  NA      NA      NA	 NA		0.010	 150.0		NA		0.050	NA	    NA			
LowPass		5.800  NA      NA      NA	 NA		0.010	 150.0		NA		0.050	NA	    NA			
Aperture	5.800  NA      NA      NA	 NA		NA	 NA		NA		NA	NA	    NA
Lens		5.100  NA      NA      NA	 NA		0.104	 150.0		NA		0.015	NA	    NA
LowPass		0.497  NA      NA      NA	 NA		0.010	 150.0		NA		0.050	NA	    NA
Lenslet		0.280  NA      NA      NA	 NA		0.050	 150.0		NA		0.000	NA	    NA
