# PixSz [Flamb]                 Mapping Speed [uK^-2 s^-1]    
0.10                          0.1399                        
0.20                          0.1771                        
0.30                          0.1823                        
0.40                          0.1796                        
0.50                          0.1735                        
0.60                          0.1658                        
0.70                          0.1570                        
0.80                          0.1477                        
0.90                          0.1382                        
1.00                          0.1288                        
1.10                          0.1197                        
1.20                          0.1110                        
1.30                          0.1027                        
1.40                          0.0950                        
1.50                          0.0878                        
1.60                          0.0811                        
1.70                          0.0749                        
1.80                          0.0692                        
1.90                          0.0640                        
2.00                          0.0592                        
2.10                          0.0548                        
2.20                          0.0508                        
2.30                          0.0472                        
2.40                          0.0438                        
2.50                          0.0408                        
2.60                          0.0380                        
2.70                          0.0355                        
2.80                          0.0332                        
2.90                          0.0310                        
3.00                          0.0291                        
3.10                          0.0273                        
3.20                          0.0257                        
3.30                          0.0242                        
3.40                          0.0228                        
3.50                          0.0216                        
3.60                          0.0204                        
3.70                          0.0193                        
3.80                          0.0183                        
3.90                          0.0174                        
4.00                          0.0165                        
4.10                          0.0157                        
4.20                          0.0150                        
4.30                          0.0143                        
4.40                          0.0137                        
4.50                          0.0131                        
4.60                          0.0125                        
4.70                          0.0120                        
4.80                          0.0115                        
4.90                          0.0110                        
