# PixSz [Flamb]                 Mapping Speed [uK^-2 s^-1]    
0.10                          0.5745                        
0.20                          0.7578                        
0.30                          0.7978                        
0.40                          0.8036                        
0.50                          0.7961                        
0.60                          0.7816                        
0.70                          0.7623                        
0.80                          0.7396                        
0.90                          0.7143                        
1.00                          0.6870                        
1.10                          0.6582                        
1.20                          0.6284                        
1.30                          0.5981                        
1.40                          0.5675                        
1.50                          0.5371                        
1.60                          0.5071                        
1.70                          0.4777                        
1.80                          0.4493                        
1.90                          0.4219                        
2.00                          0.3958                        
2.10                          0.3709                        
2.20                          0.3473                        
2.30                          0.3252                        
2.40                          0.3044                        
2.50                          0.2850                        
2.60                          0.2669                        
2.70                          0.2501                        
2.80                          0.2345                        
2.90                          0.2201                        
3.00                          0.2067                        
3.10                          0.1944                        
3.20                          0.1830                        
3.30                          0.1725                        
3.40                          0.1629                        
3.50                          0.1539                        
3.60                          0.1456                        
3.70                          0.1380                        
3.80                          0.1309                        
3.90                          0.1243                        
4.00                          0.1182                        
4.10                          0.1125                        
4.20                          0.1073                        
4.30                          0.1023                        
4.40                          0.0977                        
4.50                          0.0935                        
4.60                          0.0894                        
4.70                          0.0857                        
4.80                          0.0821                        
4.90                          0.0788                        
