ElemName	Emiss	Effic	Temp
CMB		1.000	1.000	2.725
Atmosphere	0.034	0.966	273.0
PrimMirror	0.010	0.990	273.0
SecMirror	0.010	0.990	273.0
HWP		0.020	0.959	273.0
ZoteWind	0.020	0.980	265.0
RTMLI		0.001	0.999	177.0
AluminaF	0.020	0.960	54.00
FieldLens	0.064	0.920	5.900
ApertLens	0.068	0.900	4.500
12icmMMF	0.010	0.960	5.800
8p7icmMMF	0.010	0.976	5.800	
LyotStop	0.460	0.540	5.800
CollimLens	0.068	0.900	5.100
5p7icmMMF	0.010	0.940	0.496
Lenslet		0.059	0.950	0.250
AntennaBL	1.000	0.910	0.250
AntennaMM	1.000	0.988	0.250
Microstrip	0.000	0.870	0.250
LoadResistor	0.000	1.000	0.250
