ElemName	Emiss	Effic	Temp
CMB		1.000	1.000	2.725
Atmosphere	0.032	0.968	273.0
PrimMirror	0.010	0.990	273.0
SecMirror	0.010	0.990	273.0
HWP		0.032	0.941	273.0
ZoteWind	0.020	0.980	265.0
RTMLI		0.001	0.999	177.0
AluminaF	0.031	0.958	54.00
FieldLens	0.098	0.870	5.900
ApertLens	0.105	0.890	4.500
12icmMMF	0.010	0.940	5.800
8p7icmMMF	0.010	0.940	5.800	
LyotStop	0.150	0.850	5.800
CollimLens	0.104	0.890	5.100
5p7icmMMF	0.010	0.920	0.496
Lenslet		0.050	0.950	0.250
AntennaBL	1.000	0.910	0.250
AntennaMM	1.000	0.988	0.250
Microstrip	0.000	0.870	0.250
LoadResistor	0.000	1.000	0.250
