r#*****Optical Chain*****
#
Element	Temp	Thick	Index	LossTan	Conduct	Absorb	AbsFreq	Spill	SpillT	SrfcRgh	Refl	ScattFr	ScattTemp
#	[K]	[mm]	NA	[e-4]   [e6 S/m] NA	[Ghz]	NA	[K]	[umrms]	NA	NA	[K]
Mirror1	273.0	NA	2	NA	NA	0.015	NA	NA	NA	NA	0.0	NA	NA		
Mirror2	273.0	NA	3	NA	NA	0.015	NA	NA	NA	NA	0.0	NA	NA
Win	273.0	NA	4	NA	NA	0.010	150.0	NA	NA	NA	0.007	NA	NA
IR1	273.0	NA	5	NA	NA	0.001	NA	NA	NA	NA	0.0	NA	NA
IR2	170.0	NA	6	NA	NA	0.001	NA	NA	NA	NA	0.0	NA	NA
LP40	60.0	NA	7	NA	NA	0.006	150.0	NA	NA	NA	0.054	NA	NA
IR3	60.0	NA	8	NA	NA	0.001	NA	NA	NA	NA	0.0	NA	NA
IR4	40.0	NA	9	NA	NA	0.001	NA	NA	NA	NA	0.0	NA	NA
LP4K	10.0	NA	10	NA	NA	0.006	150.0	NA	NA	NA	0.054	NA	NA
Lens1	4.5	NA	11	NA	NA	0.030	150.0	NA	NA	NA	0.005	NA	NA
Stop	1.2	NA	12	NA	NA	0.360	NA	NA	NA	NA	0.0	NA	NA
Lens2	1.2	NA	13	NA	NA	0.030	150.0	NA	NA	NA	0.005	NA	NA
LP1a	1.2	NA	14	NA	NA	0.006	150.0	NA	NA	NA	0.054	NA	NA
LP1b	1.2	NA	15	NA	NA	0.006	150.0	NA	NA	NA	0.054	NA	NA
Lens3	1.2	NA	16	NA	NA	0.030	150.0	NA	NA	NA	0.005	NA	NA
LPp1	0.1	NA	17	NA	NA	0.006	150.0	NA	NA	NA	0.054	NA	NA

