Elementname, Emissivity, Efficiency, Temperature, Loading Power 
CMB,0.0,1.0,2.725,0.0 
ATM,0.034,0.966,9.175,1.197 
MIR1,0.015,0.985,273.0,0.542 
MIR2,0.015,0.985,273.0,0.551 
WIN,0.01,0.983,273.0,0.374 
IR1,0.0,1.0,273.0,0.013 
IR2,0.0,1.0,170.0,0.008 
LP40,0.006,0.94,60.0,0.05 
IR3,0.0,1.0,60.0,0.003 
IR4,0.0,1.0,40.0,0.002 
LP4K,0.006,0.94,10.0,0.007 
lens1,0.03,0.965,4.5,0.009 
STOP,0.36,0.64,1.2,0.002 
lens2,0.03,0.965,1.2,0.0 
LP1a,0.006,0.94,1.2,0.0 
LP1b,0.006,0.94,1.2,0.0 
lens3,0.03,0.965,1.2,0.0 
LPp1,0.006,0.94,0.1,0.0 
